categoria,ies,nome,prof_id
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,ALBERTO BARBOSA RAPOSO,45079
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,ALESSANDRO FABRICIO GARCIA,45076
COLABORADOR,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,ANTONIO LUZ FURTADO,45077
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,ARNDT VON STAA,45074
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,BRUNO FEIJO,45093
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,CARLOS JOSE PEREIRA DE LUCENA,45083
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,CLARISSE SIECKENIUS DE SOUZA,45075
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,DANIEL SCHWABE,45089
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,EDUARDO SANY LABER,45090
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,EDWARD HERMANN HAEUSLER,45081
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,HELIO CORTES VIEIRA LOPES,93222
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,HUGO FUKS,45084
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,JULIO CESAR SAMPAIO DO PRADO LEITE,45080
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,MARCELO GATTASS,45087
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,MARCO ANTONIO CASANOVA,45086
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,MARCO SERPA MOLINARO,147876
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,MARCUS VINICIUS SOLEDADE POGGI DE ARAGAO,45095
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,MARKUS ENDLER,45091
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,NOEMI DE LA ROCQUE RODRIGUEZ,45078
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,ROBERTO IERUSALIMSCHY,45094
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,RUY LUIZ MILIDIU,45082
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,SERGIO LIFSCHITZ,94858
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,SIMONE DINIZ JUNQUEIRA BARBOSA,45073
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,THIBAUT VICTOR GASTON VIDAL,129960
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,WALDEMAR CELES FILHO,45088
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,ALEXANDRE DE MORAIS AMORY,86215
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,AVELINO FRANCISCO ZORZO,86200
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,CESAR AUGUSTO FONTICIELHA DE ROSE,86199
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,CESAR AUGUSTO MISSIO MARCON,86210
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,DUNCAN DUBUGRAS ALCOBA RUIZ,86195
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,FABIANO PASSUELO HESSEL,86201
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,FELIPE RECH MENEGUZZI,86213
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,FERNANDO GEHM MORAES,86192
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,FERNANDO LUIS DOTTI,86197
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,ISABEL HARB MANSSOUR,109880
COLABORADOR,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,JORGE LUIS NICOLAS AUDY,86202
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,LUIZ GUSTAVO LEAO FERNANDES,86206
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,MARCIA BORBA CAMPOS,120944
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,MARCIO SARROGLIA PINHO,86207
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,MILENE SELBACH SILVEIRA,86209
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,NEY LAERT VILAR CALAZANS,86194
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,OSMAR NORBERTO DE SOUZA,86204
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,RAFAEL HEITOR BORDINI,86214
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,RAFAEL PRIKLADNICKI,86205
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,RENATA VIEIRA,86203
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,RODRIGO COELHO BARROS,109849
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,SABRINA DOS SANTOS MARCZAK,99777
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,SORAIA RAUPP MUSSE,86212
PERMANENTE,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,TIAGO COELHO FERRETO,86216
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,ALEXANDRE PLASTINO DE CARVALHO,43153
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,ALINE MARINS PAES,152411
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,ANA CRISTINA BICHARRA GARCIA,43141
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,ANSELMO ANTUNES MONTENEGRO,43160
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,ANTONIO AUGUSTO DE ARAGAO ROCHA,43170
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,AURA CONCI,43146
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,BRUNO LOPES VIEIRA,152538
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,CARLOS ALBERTO DE JESUS MARTINHON,43144
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,CELIO VINICIUS NEVES DE ALBUQUERQUE,43159
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,CELSO DA CRUZ CARNEIRO RIBEIRO,43156
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,CHRISTIANO DE OLIVEIRA BRAGA,43157
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,CRISTINA NADER VASCONCELOS,127939
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,DANIEL CARDOSO MORAES DE OLIVEIRA,96557
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,DANIELA TREVISAN,43165
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,DEBORA CHRISTINA MUCHALUAT SAADE,43175
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,DIEGO GIMENEZ PASSOS,114481
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,ESTEBAN WALTER GONZALEZ CLUA,43162
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,EUGENE FRANCIS VINOD REBELLO,43143
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,FÁBIO PROTTI,43158
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,IGOR MONTEIRO MORAES,43166
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,JOSE RICARDO DE ALMEIDA TORREAO,43145
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,JOSE VITERBO FILHO,43174
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,JULIO CESAR STACCHINI DE SOUZA,43147
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,LEANDRO AUGUSTO FRATA FERNANDES,43171
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,LEONARDO GRESTA PAULINO MURTA,43163
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,LOANA TITO NOGUEIRA,43161
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,LUCIA MARIA DE ASSUMPCAO DRUMMOND,43140
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,LUCIANA CARDOSO DE CASTRO SALGADO,161712
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,LUIS ANTONIO BRASIL KOWADA,135250
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,LUIS MARTI OROSA,137497
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,LUIZ ANDRE PORTES PAES LEME,113714
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,LUIZ SATORU OCHI,43139
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,MARCOS DE OLIVEIRA LAGE FERREIRA,96558
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,MARCOS KALINOWSKI,128513
COLABORADOR,UNIVERSIDADE FEDERAL FLUMINENSE,MAURICIO KISCHINHEVSKY,96559
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,MILTON BROWN DO COUTTO FILHO,43150
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,ORLANDO GOMES LOQUES FILHO,43151
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,SIMONE DE LIMA MARTINS,43155
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,UEVERTON DOS SANTOS SOUZA,135249
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,VANESSA BRAGANHOLO MURTA,43173
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,VIVIANE TORRES DA SILVA,43164
PERMANENTE,UNIVERSIDADE FEDERAL FLUMINENSE,YURI ABITBOL DE MENEZES FROTA,43168
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,ADRIANO ALONSO VELOSO,49019
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,ADRIANO CESAR MACHADO PEREIRA,106632
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,ALBERTO HENRIQUE FRADE LAENDER,48990
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,ALEXANDRE SALLES DA CUNHA,49010
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,ANA PAULA COUTO DA SILVA,106745
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,ANTONIO ALFREDO FERREIRA LOUREIRO,48983
COLABORADOR,UNIVERSIDADE FEDERAL DE MINAS GERAIS,ANTONIO OTAVIO FERNANDES,48991
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,ARNALDO DE ALBUQUERQUE ARAUJO,48984
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,BERTHIER RIBEIRO DE ARAUJO NETO,48985
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,CLODOVEU AUGUSTO DAVIS JUNIOR,49013
COLABORADOR,UNIVERSIDADE FEDERAL DE MINAS GERAIS,CRISTIANO ARBEX VALLE,172391
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,DANIEL FERNANDES MACEDO,49022
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,DORGIVAL OLAVO GUEDES NETO,49001
COLABORADOR,UNIVERSIDADE FEDERAL DE MINAS GERAIS,DOUGLAS GUIMARAES MACHARET,106635
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,EDUARDO MAGNO LAGES FIGUEIREDO,49016
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,ERICKSON RANGEL DO NASCIMENTO,106639
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FABRICIO BENEVENUTO DE SOUZA,106641
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FERNANDO MAGNO QUINTAO PEREIRA,49017
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,GERALDO ROBSON MATEUS,48987
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,GISELE LOBO PAPPA,49012
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,ITALO FERNANDO SCOTA CUNHA,106725
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,JEFERSSON ALEX DOS SANTOS,128740
COLABORADOR,UNIVERSIDADE FEDERAL DE MINAS GERAIS,JEROEN ANTONIUS MARIA VAN DE GRAAF,106750
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,JOSE MARCOS SILVA NOGUEIRA,48988
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,JUSSARA MARQUES DE ALMEIDA GONCALVES,49003
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,LEONARDO BARBOSA E OLIVEIRA,107089
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,LOIC PASCAL GILLES CERF,107092
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,LUIZ CHAIMOWICZ,49005
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,LUIZ FILIPE MENEZES VIEIRA,49014
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,MARCO TULIO DE OLIVEIRA VALENTE,49004
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,MARCOS ANDRE GONCALVES,49007
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,MARCOS AUGUSTO MENEZES VIEIRA,107130
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,MARIO FERNANDO MONTENEGRO CAMPOS,48989
COLABORADOR,UNIVERSIDADE FEDERAL DE MINAS GERAIS,MARIO SERGIO FERREIRA ALVIM JUNIOR,137062
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,MARIZA ANDRADE DA SILVA BIGONHA,48999
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,MIRELLA MOURA MORO,49011
COLABORADOR,UNIVERSIDADE FEDERAL DE MINAS GERAIS,NEWTON JOSE VIEIRA,49000
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,NIVIO ZIVIANI,48992
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,OLGA NIKOLAEVNA GOUSSEVSKAIA,49021
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,OMAR PARANAIBA VILELA NETO,49015
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,PEDRO OLMO STANCIOLI VAZ DE MELO,116789
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,RAQUEL CARDOSO DE MELO MINARDI,49018
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,RAQUEL OLIVEIRA PRATES,49008
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,RENATO ANTONIO CELSO FERREIRA,49002
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,RENATO MARTINS ASSUNCAO,49023
COLABORADOR,UNIVERSIDADE FEDERAL DE MINAS GERAIS,RODOLFO SERGIO FERREIRA DE RESENDE,49006
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,RODRYGO LUIS TEODORO SANTOS,137045
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,SEBASTIAN ALBERTO URRUTIA,49009
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,SERGIO VALE AGUIAR CAMPOS,48995
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,THIAGO FERREIRA DE NORONHA,49020
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,VINICIUS FERNANDES DOS SANTOS,147532
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,VIRGILIO AUGUSTO FERNANDES ALMEIDA,48994
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,WAGNER MEIRA JUNIOR,48996
PERMANENTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,WILLIAM ROBSON SCHWARTZ,104148
PERMANENTE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ABEL GUILHERMINO DA SILVA FILHO,31332
COLABORADOR,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ADRIANO AUGUSTO DE MORAES SARMENTO,106906
PERMANENTE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ADRIANO LORENA INACIO DE OLIVEIRA,31350
COLABORADOR,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ALEX SANDRO GOMES,31339
PERMANENTE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ALEXANDRE CABRAL MOTA,31340
COLABORADOR,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ALEXANDRE MARCOS LINS DE VASCONCELOS,31311
PERMANENTE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ALUIZIO FAUSTO RIBEIRO ARAUJO,31337
PERMANENTE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ANA CAROLINA BRANDAO SALGADO,31310
PERMANENTE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ANDRE LUIS DE MEDEIROS SANTOS,31345
PERMANENTE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ANJOLINA GRISI DE OLIVEIRA,103190
